Date,signal,position,Close,strategy
2022-12-18,0,1,,KW_LSTM
2022-12-25,0,1,,KW_LSTM
2023-01-01,0,1,,KW_LSTM
2023-01-08,0,1,,KW_LSTM
2023-01-15,0,1,,KW_LSTM
2023-01-22,0,1,,KW_LSTM
2023-01-29,0,1,,KW_LSTM
2023-02-05,0,1,,KW_LSTM
2023-02-12,0,1,,KW_LSTM
2023-02-19,0,1,,KW_LSTM
2023-02-26,0,1,,KW_LSTM
2023-03-05,0,1,,KW_LSTM
2023-03-12,0,1,,KW_LSTM
2023-03-19,0,1,,KW_LSTM
2023-03-26,0,1,,KW_LSTM
2023-04-02,0,1,,KW_LSTM
2023-04-09,0,1,,KW_LSTM
2023-04-16,0,1,,KW_LSTM
2023-04-23,0,1,,KW_LSTM
2023-04-30,0,1,,KW_LSTM
2023-05-07,0,1,,KW_LSTM
2023-05-14,0,1,,KW_LSTM
2023-05-21,0,1,,KW_LSTM
2023-05-28,0,1,,KW_LSTM
2023-06-04,0,1,,KW_LSTM
2023-06-11,0,1,,KW_LSTM
2023-06-18,0,1,,KW_LSTM
2023-06-25,0,1,,KW_LSTM
2023-07-02,0,1,,KW_LSTM
2023-07-09,0,1,,KW_LSTM
2023-07-16,0,1,,KW_LSTM
2023-07-23,0,1,,KW_LSTM
2023-07-30,0,1,,KW_LSTM
2023-08-06,0,1,,KW_LSTM
2023-08-13,0,1,,KW_LSTM
2023-08-20,0,1,,KW_LSTM
2023-08-27,0,1,,KW_LSTM
2023-09-03,0,1,,KW_LSTM
2023-09-10,0,1,,KW_LSTM
2023-09-17,0,1,,KW_LSTM
2023-09-24,0,1,,KW_LSTM
2023-10-01,0,1,,KW_LSTM
2023-10-08,0,1,,KW_LSTM
2023-10-15,0,1,,KW_LSTM
2023-10-22,0,1,,KW_LSTM
2023-10-29,0,1,,KW_LSTM
2023-11-05,0,1,,KW_LSTM
2023-11-12,0,1,,KW_LSTM
2023-11-19,0,1,,KW_LSTM
2023-11-26,0,1,,KW_LSTM
2023-12-03,0,1,,KW_LSTM
2023-12-10,0,1,,KW_LSTM
2023-12-17,0,1,,KW_LSTM
2023-12-24,0,1,,KW_LSTM
2023-12-31,0,1,,KW_LSTM
2024-01-07,0,1,,KW_LSTM
2024-01-14,0,1,,KW_LSTM
2024-01-21,0,1,,KW_LSTM
2024-01-28,0,1,,KW_LSTM
2024-02-04,0,1,,KW_LSTM
2024-02-11,0,1,,KW_LSTM
2024-02-18,0,1,,KW_LSTM
2024-02-25,0,1,,KW_LSTM
